,less_adjective
0,top
1,lame
2,old
3,sucks
4,eat
5,homey
6,harassment
7,liar
8,lechery
9,sillily
10,tantalizing
11,careless
12,delaying
13,uncomfortably
14,bs
15,accomplished
16,repulsively
17,poorer
18,horrified
19,clumsy
20,regrets
21,horrendous
22,lecherous
23,problem
24,regrettably
25,cheap
26,clueless
27,losers
28,movenpick
29,loathing
30,offending
31,appal
32,ridicules
33,greasy
34,awesome
35,giant
36,sizzling
37,carelessness
38,blame
39,decent
40,heartbreaking
41,slow-moving
42,annoyances
43,abominable
44,top notch
45,unbearable
46,voted
47,killer
48,angry
49,delays
50,inexpensive
51,silly
52,remorseless
53,lackadaisical
54,crept
55,delectable
56,harassed
57,hazard
58,loath
59,ugly
60,idiotic
61,lacks
62,lies
63,ordered
64,local
65,annoying
66,fucking
67,painfull
68,annoy
69,bad
70,fuck
71,crazy
72,appall
73,uncooperative
74,better
75,delicious
76,idiotically
77,miserable
78,ugliest
79,rejects
80,cheapest
81,spot
82,poor
83,helplessness
84,annoyingly
85,contaminates
86,inhospitable
87,unhappy
88,lewdly
89,sickeningly
90,perfect
91,infected
92,enough
93,outstanding
94,served
95,bitch
96,bastard
97,angriness
98,sucker
99,best
100,delayed
101,pollute
102,shamefully
103,abysmally
104,finer
105,use fresh
106,ridiculously
107,lech
108,wow
109,authentic
110,appalled
111,awsome
112,yummiest
113,bestest
114,liars
115,tried
116,junk
117,slowww
118,contamination
119,posturing
120,frustrated
121,tastiest
122,painfully
123,hell-bent
124,horrify
125,worsen
126,regretted
127,fine
128,sh*t
129,callous
130,repulsive
131,ill-treated
132,procrastinate
133,excellent
134,appallingly
135,expressed
136,noises
137,shameless
138,nagging
139,worthlessly
140,remorsefully
141,negativity
142,unlimited
143,relish
144,sloooow
145,bastards
146,wonderful
147,vomited
148,angrily
149,regrettable
150,brilliant
151,uncouth
152,abysmal
153,lecher
154,leak
155,sucky
156,indecent
157,slooow
158,shit
159,noisy
160,bitchy
161,smelt
162,yummy
163,repugnantly
164,miraculous
165,mess
166,smelled
167,decayed
168,messy
169,horrible
170,thumb-down
171,loathsome
172,shamelessly
173,abominably
174,misbehave
175,regretful
176,frustrations
177,lousy
178,remorselessly
179,slower
180,loved
181,regret
182,shameful
183,leaks
184,lie
185,tortured
186,loser
187,defects
188,unattractive
189,get
190,negative
191,ludicrously
192,insultingly
193,illness
194,huge
195,complementary
196,defective
197,horrifies
198,costly
199,horrifying
200,arrogance
201,obnoxiously
202,bullshyt
203,unacceptable
204,annoyed
205,procrastination
206,repugnant
207,incredible
208,molest
209,badly
210,infested
211,selection
212,frustratingly
213,awfulness
214,contaminating
215,tortuous
216,vomits
217,inferior
218,crap
219,waste
220,shamefulness
221,rejected
222,great
223,complimentary
224,idiots
225,nice
226,illegitimate
227,uglier
228,insulted
229,appealing
230,foully
231,messed
232,pollution
233,worse
234,original
235,shortcoming
236,horrific
237,miserably
238,exemplary
239,arrogant
240,lier
241,finest
242,unique
243,creepy
244,serve
245,suck
246,loathly
247,serving
248,lame-duck
249,inferiority
250,affordable
251,repulsing
252,leakages
253,proper
254,recommended
255,inconsiderately
256,garbage
257,mistakes
258,infection
259,annoys
260,noise
261,lied
262,unbearablely
263,sloooooooooooooow
264,unappealing
265,mistakenly
266,delay
267,hazardous
268,offend
269,sloow
270,interesting
271,messes
272,bullshit
273,remorse
274,repulsed
275,cocky
276,awfully
277,listless
278,sloppy
279,arrogantly
280,life-threatening
281,leakage
282,loves
283,nicest
284,famous
285,good
286,insults
287,lethargy
288,blameworthy
289,ultimate
290,regreted
291,nuisance
292,ridiculous
293,gives
294,classic
295,executed
296,favorite
297,illiterate
298,creeps
299,quality
300,warm
301,pain
302,polluters
303,sweaty
304,slowwww
305,lethargic
306,creep
307,frustrates
308,offender
309,f**k
310,remorseful
311,abnormal
312,slowest
313,ruthless
314,unhealthy
315,bullies
316,inhospitality
317,sickness
318,the
319,nag
320,loathsomely
321,lewd
322,reject
323,junky
324,infest
325,popular
326,indecency
327,ugliness
328,indecently
329,rejection
330,appreciate
331,offer
332,painful
333,helplessly
334,offenses
335,humiliate
336,love
337,adventurous
338,frustrate
339,mediocrity
340,super
341,refreshing
342,inconsiderate
343,slowed
344,repugnance
345,sick
346,like
347,torturously
348,slow
349,insulting
350,rejecting
351,chilled
352,superb
353,helpless
354,repulsiveness
355,vomit
356,favorita
357,simple
358,uncomfortable
359,worsening
360,remorselessness
361,bull****
362,poorly
363,obscenely
364,sublime
365,torturing
366,fresh
367,offensively
368,smells
369,carp
370,ludicrous
371,available
372,sucked
373,lackluster
374,offence
375,frustrating
376,leaky
377,worst
378,harasses
379,slime
380,tasty
381,miserableness
382,mistake
383,vomiting
384,filthy
385,special
386,useless
387,irregularity
388,bull----
389,delightful
390,offensive
391,loses
392,defect
393,loathe
394,smell
395,molestation
396,ill-treatment
397,offered
398,obscene
399,noisier
400,give
401,brillaint
402,recommend
403,helpful
404,fantastic
405,messing
406,idiot
407,beautiful
408,profanity
409,mediocre
410,appalling
411,miss
412,offers
413,lazy
414,ridicule
415,issues
416,problems
417,option
418,torture
419,filth
420,adverse
421,giving
422,slowly
423,worthless
424,enjoy
425,horrid
426,offensiveness
427,regular
428,poorest
429,tortures
430,heartbreakingly
431,sickly
432,try
433,smelling
434,humiliation
435,stink
436,favourite
437,crappy
438,spl
439,worthlessness
440,foul
441,nasty
442,unacceptablely
443,anger
444,foulness
445,modern
446,sicken
447,pleasant
448,issue
449,fabulous
450,humiliating
451,regretfully
452,smelly
453,creeping
454,shortcomings
455,horrifys
456,profane
457,repulse
458,sloww
459,negatives
460,homemade
461,decay
462,amazing
463,problematic
464,exceptional
465,hells
466,awful
467,obscenity
468,breathtaking
469,extreme
470,shamelessness
471,unacceptably
472,procrastinates
473,lewdness
474,innovative
475,contaminate
476,ruthlessness
477,harass
478,mistaken
479,stinks
480,sickening
481,contaminated
482,frustration
483,heartbreaker
484,obnoxious
485,annoyance
486,luscious
487,assorted
488,sloppily
489,prohibit
